source,target,hash,block,timestamp,value_wei,value_eth,gas,gas_price,type
0x33de12b5cf336692c6b7cfd3aaf779425067f21c,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x5fb6cb8cb11488d26ec752787b523d5c56bcdbb6cd7fcdda8dd89c0c64dd3e55,3901266,1497927753,14000000000000000000,14.0,150000,40000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x1c3f580daeaac2f540c998c8ae3e4b18440f7c45,0xdcc05616ea32589403d4f8ca9a75519a21fdd45b44272173f4569eb866dbb2d0,3901332,1497928979,13719334960000000000,13.71933496,21000,28789793257,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xa843b707b8d1a9847376346b564fdd347da0f3d40eceb63f02c2bd1e8f5afe97,3906954,1498026570,278950000000000000,0.27895,21000,50000000000,transfer
0xc3d9c17d7f6988c0fe7ebe929c47efccbd92be13,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x4afe08996884d80d77045fa487086aadd146d5eca1d20a94c6d0a7cdd05b5f72,4012325,1499867804,2497562000000000000,2.497562,90000,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x442ef266434a9575325f1af0249a4cfea04334ff,0xb720e6fedec8ee899f8503d440b437138ef80e9388645b0d309f0374ffe46b03,4012378,1499869150,2437347980000000000,2.43734798,21001,20000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x4067504735aeb2e38a862409ff82017cfe75999c60c4f5c1bfa12855e5e7443d,4015128,1499921076,49309000000000000,0.049309,21000,21000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x91f9658ce12b05dc3bf4389782d8d3b43c9ced01,0xfb69b1ade22bad5aa57f7428ef6f6975887f7b6b441984b72bc183a19e1999e2,4123964,1502022161,9474080000000000,0.00947408,23101,20775458730,transfer
0x8d4d279a65c248dccc4d4a8ce3b99ba181a74aad,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x6f208b720ccc6bdb7acaf41b2bdb643cabc899e454f1fa30e837606a71bfa4a3,4952600,1516629327,9970000000000000,0.00997,90000,25000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x4fd8acd2390ee324659e75de5ef0380bc925aa3f,0x867136828929cff071636e41887f3087574cd397e6c2a2f18007c6d8054dee43,4952696,1516630793,9342500000000000,0.0093425,21000,25000000000,transfer
0xe55996c55e188fbcf95ed6ca96fa933171c05fa0,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x4e6d5de6c90a5386a7937a278e7b1e4aa276008ed2c5897ded72579cf10874e0,6466366,1538860052,49510000000000000,0.04951,21000,23000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xdb9e6173c24829cedd613fee5c7f0b03acb43ddd,0x317d879dfa4d92c5b7a9429d5922e9dd155c752873b552922f4fe5eb59e6b105,6466418,1538860638,49163800000000000,0.0491638,21000,1100000001,transfer
0xd34d099b511a07c19ca34e34d2daef8e39f87f4c,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xbf59632ee5f945e3b9f3b0099d847b4fd05ecfaed217a2fcd97a794a89a2deab,6568138,1540291055,374986230000000000,0.37498623,40000,12480000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x189f62cff510d1a4b90385eafad1db08a682b27b,0x73ac1e3fe5a92fe14f7a69ed7831d89abec89dd91b0c3d8dcc274d253a5cf683,6568202,1540291917,372954530000000000,0.37295453,21000,7000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x99f6c6db04a5e35b7b0147531c5b152a41a0a05d08a4070ecbd68a49c15b97ea,6572608,1540354090,2012500000000000,0.0020125,21000,7500000000,transfer
0x6e69e6dbcd345665ff0d6aba9fa66ef331410304,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x1ee0aee35692c9908a2af42535c29dba5780bb1ae6a50b09ff10320609f7b9b2,8525175,1568160225,278540000000000000,0.27854,21000,12000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xeac1988143252c3e278801eb9984defc1cdd04ed,0x59b52e1719afb7aa125b0cc234344df22690986c8e5c1cef9a5503d8751a4184,8525223,1568160814,276965200000000000,0.2769652,21000,8000200000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xd71c8eb45eebfd2a757a83fe58788e4d7bd21e012e4b6b3fb611a76100f40e9d,8526280,1568175095,1205200000000000,0.0012052,21000,8800000000,transfer
0xfe010a494ffe43037e0e94cdcdb0d360f6f11229,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xff23c842e0162eb60343edd9b39c78dfc1d4f325790da78c391377caebeb538d,8797560,1571845668,510000000000000000,0.51,21000,60000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x57eb196d7819f6510266f482562831c5f96dd8b1,0x470f9c46cb80ab27bee1beb0786aae5482df2ff77a1efeb1f70d5e5a2953bfa7,8797621,1571846332,501876000000000000,0.501876,21000,4000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0xf56e26de0d9a8dd056b6e75606d32fd9cba09a691718b38f9df14ddfcf3ef7f9,8800782,1571890137,2925000000000000,0.002925,21000,5000000000,transfer
0x74d3b1cd6dc74722eac1cd6326662c740d8908f6,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xdec33506fd82592b15c9465ca8b04aca36629e2c3afa50c8457ee6c9599f99a4,9714139,1584782303,920970000000000000,0.92097,21000,7000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x644dc7ba1146af03bc083ac0f3f4087372792360,0x4b45c3c1785272eee449ab23ef09a002792ff417ed508196b9cb838fd8a3d837,9714238,1584783611,916196750000000000,0.91619675,21000,8250000349,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x4a9b52b2ebe754f996e8f288467c7bfa717dadf4921cbb2fefdfb2f958b28e6a,9719191,1584850717,4618500000000000,0.0046185,21000,1500000000,transfer
0x017e476f0113356e17a9d3a0676f1248f3693b61,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xe19bf609bc91d7f313c643515c90dc9c01b65f3f5f2a92d2eef5e348239d935d,9817533,1586163037,248870450000000000,0.24887045,21000,8550000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x1b082d6a5d893f4bf7968dd7d5894837dedf230c,0xbd12b2c05317df93de942f80c20f18f63b5a5e0e449deeaa31176fe1b75cda04,9817603,1586163983,244581790000000000,0.24458179,21000,11343750000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x9c9539cdb730c2cc2aeffac3a107d630c44ecb056ffadc9d8e2460620dc90e42,9823097,1586237364,1198500000000000,0.0011985,21000,1500000000,transfer
0x2c9e0ae8f4e1c8838d9d7a2a2f5bcc03d71aad8b,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x6d5045cdd24a8d1eb106c7d39dc573e9f1644d2bf20f93e8bd7e9f2f1d6b9115,11067506,1602858979,220612240000000000,0.22061224,21000,79500000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xd57303ee4e500b72673018f29acb82fea94412cd,0xf22204403ab66537ff972c0c6c383ce37dc3f639d9e76c6ca48ed77d1e4845cd,11067576,1602859798,213460180000000000,0.21346018,21000,83325000000,transfer
0x493691088246eed28f2ca27e64812d120b66c0ba,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x5ae8fc93f804779380ad47d075d0ad1794f448e09e3504efa598989c637a35bd,11165235,1604155081,20500000000000000,0.0205,21000,38500000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xf217cad75b4c33afa79893a219b25ab90ab0dc30,0x756e8b4710a5d7b63265968d15050ffac027209dfb37f16339114777454306f5,11165319,1604156014,19340500000000000,0.0193405,21000,49500000000,transfer
0xd2803c8a549aba683a868cd196d98aff48dfc8c1,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xe099a88da168aee4398ed235c4a8b9d4fac07d3dd15d6b505b01b3a72df679cf,11262994,1605451225,51680000000000000,0.05168,21000,32000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x1ab6947e62bb13a12f989dce2253fbd5a9ecc4e9,0xae7fff3c5d40d59ec148cc88e48c2b241f54749803112ddceb60796c101fae8c,11263044,1605452044,50268990000000000,0.05026899,21000,54810000001,transfer
0x4102a799b5b87db21f7707e2cc2789330254397f,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xad144269fe82c54084c6457062bf926396ff8dca34f2bf1f0fa67071561e74e9,11360773,1606747697,829730000000000000,0.82973,100000,155000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x069acf904f610cbf8ef1540349092852e46b4e95,0xc44331241d990d61debe6fb7d164adb336111f3dfba8b31f5839c7ab6086b47f,11360826,1606748411,820902250000000000,0.82090225,21000,222750000000,transfer
0x5df67fec392182b1903d453bc910b5fc6e4ac51d,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x6d9caf06083fb88c34bed73536793b549126b0c74be185599055efd36e92aef9,11458269,1608043634,205600000000000000,0.2056,21000,159000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xec590f69d0cbe1d5d9512c484940232d601e7860,0x6ab1e727788ddfd18dc22d4a2582191f2b465ef2be5ebea67af8e9ad85f6e3d3,11458310,1608044262,193617100000000000,0.1936171,21000,174900000000,transfer
0x57d164b14e160a8728871bafe2ec6fb6e54e3034,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xacba6c94135862b740351115fe2772ba37be8f907cccd7399bc4d353f0619850,11550634,1609267863,167800000000000000,0.1678,21000,85000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xec590f69d0cbe1d5d9512c484940232d601e7860,0x71fe998747f4d8dd0392382fd03e4256d808a938537e7d1a3553997ddf9ff753,11550693,1609268637,159632500000000000,0.1596325,21000,67500000000,transfer
0x737b8d5eb07524ec691892e683c708aed1e5639c,0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0x45db696253f4e14548c11052c22908a6a76f9d2ab19740d87198d2360835040b,11827295,1612940527,66200000000000000,0.0662,21000,156000000000,transfer
0x1302e2d2df9e1f2f253a8db736227b55a74bcbf0,0xec590f69d0cbe1d5d9512c484940232d601e7860,0x4943bea158efba9cc54f14512adc33958adee2cf217722088a8ca66117575836,11827358,1612941366,57583750000000000,0.05758375,21000,281250000000,transfer
